STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TMAX,TMIN
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110420,0.00,66,51
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110421,0.00,66,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110422,0.00,64,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110423,0.00,66,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110424,0.00,64,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110425,0.00,75,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110426,0.00,79,54
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110427,0.00,82,62
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110428,0.00,78,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110429,0.00,73,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110430,0.00,76,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110501,0.00,79,61
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110502,0.00,83,65
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110503,0.00,89,70
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110504,0.00,89,61
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110505,0.00,82,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110506,0.00,70,48
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110507,0.00,66,51
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110508,0.00,62,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110509,0.01,63,47
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110510,0.00,64,48
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110511,0.00,69,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110512,0.00,74,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110513,0.00,74,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110514,0.00,66,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110515,0.08,59,47
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110516,0.00,60,45
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110517,0.43,60,45
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110518,0.11,66,46
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110519,0.00,64,48
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110520,0.00,68,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110521,0.00,69,47
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110522,0.00,66,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110523,0.00,65,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110524,0.00,66,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110525,0.00,71,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110526,0.00,69,51
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110527,0.00,73,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110528,0.00,71,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110529,0.00,68,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110530,0.00,75,51
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110531,0.00,72,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110601,0.00,69,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110602,0.00,79,51
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110603,0.00,72,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110604,0.00,66,49
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110605,0.00,70,50
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110606,0.00,68,51
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110607,0.00,71,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110608,0.00,67,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110609,0.00,68,51
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110610,0.00,67,51
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110611,0.00,66,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110612,0.00,68,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110613,0.00,71,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110614,0.00,73,51
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110615,0.00,72,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110616,0.01,69,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110617,0.09,67,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110618,0.00,70,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110619,0.00,67,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110620,0.00,75,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110621,0.00,77,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110622,0.00,76,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110623,0.00,76,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110624,0.00,75,54
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110625,0.00,74,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110626,0.00,79,55
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110627,0.00,82,59
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110628,0.00,76,55
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110629,0.00,71,54
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110630,0.00,80,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110701,0.00,86,61
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110702,0.00,85,59
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110703,0.00,81,60
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110704,0.00,89,61
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110705,0.00,89,64
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110706,0.00,85,63
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110707,0.00,85,62
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110708,0.00,84,59
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110709,0.00,81,59
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110710,0.00,78,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110711,0.00,75,57
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110712,0.00,74,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110713,0.00,73,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110714,0.00,74,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110715,0.00,74,58
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110716,0.00,73,55
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110717,0.00,78,54
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110718,0.00,82,60
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110719,0.00,83,60
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110720,0.00,80,55
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110721,0.00,77,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110722,0.00,76,54
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110723,0.00,78,55
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110724,0.00,77,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110725,0.00,83,61
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110726,0.00,83,60
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110727,0.00,75,59
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110728,0.00,77,58
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110729,0.00,72,57
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110730,0.00,76,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110731,0.03,85,58
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110801,0.00,87,59
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110802,0.00,90,69
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110803,0.00,85,62
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110804,0.00,85,58
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110805,0.00,78,55
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110806,0.00,78,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110807,0.00,79,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110808,0.00,77,55
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110809,0.00,76,54
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110810,0.00,75,55
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110811,0.00,74,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110812,0.00,75,55
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110813,0.00,75,55
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110814,0.00,79,53
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110815,0.00,82,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110816,0.00,80,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110817,0.00,82,59
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110818,0.00,83,60
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110819,0.00,76,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110820,0.00,75,55
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110821,0.00,77,54
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110822,0.00,80,55
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110823,0.00,85,64
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110824,0.00,83,63
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110825,0.00,96,67
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110826,0.00,101,70
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110827,0.00,97,66
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110828,0.00,88,66
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110829,0.00,88,63
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110830,0.00,80,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110831,0.00,78,54
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110901,0.00,80,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110902,0.00,78,52
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110903,0.00,79,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110904,0.00,84,60
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110905,0.00,91,61
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110906,0.00,97,79
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110907,0.00,98,79
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110908,0.00,92,63
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110909,0.00,80,58
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110910,0.00,74,57
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110911,0.00,76,58
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110912,0.00,83,57
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110913,0.00,82,60
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110914,0.00,75,57
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110915,0.00,76,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110916,0.00,65,57
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110917,0.00,72,57
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110918,0.00,79,56
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110919,0.00,80,57
GHCND:USC00043392,GETTY CENTER CA US,340.5,34.0869,-118.4794,20110920,0.00,76,53
